id;date_envoie;montant;date_retrait;comm;comm_exp;comm_rec;taxe;status;code_transaction;comm_sys;id_exp_id;id_user_exp_id
1;2019-10-09;79654;2019-10-09;18343;73199;77969;59865;Table Computer;5808;45924;1;2
2;2019-10-10;60111;2019-10-10;70807;65088;2058;5641;transmitter Implementation Electronics;99221;18340;2;2
3;2019-10-10;61165;2019-10-09;706;43194;2306;29122;Investment Account Steel;29214;97375;3;1
4;2019-10-10;45606;2019-10-10;78517;61838;19967;38246;Planner Canyon;85994;60754;4;2
5;2019-10-10;45049;2019-10-10;1326;94888;94220;96563;cross-platform access;9767;23089;5;2
6;2019-10-10;44015;2019-10-09;12203;60999;49517;83319;Salad;39106;25877;6;1
7;2019-10-09;75536;2019-10-10;42515;52006;20794;54671;Chair Facilitator;77513;44975;7;2
8;2019-10-09;89482;2019-10-09;59789;72727;92187;32654;Georgia;52083;4522;8;2
9;2019-10-10;84453;2019-10-09;74732;27134;53969;82873;compelling mission-critical;54269;27599;9;1
10;2019-10-10;80219;2019-10-10;7455;1563;98688;42340;reinvent 24 hour Jewelery;19884;70685;10;2
